state,jurisdiction,jurisdiction_type,data_layer,platform,endpoint_url,http_status,sample_record_count,latest_record_date,freshness_days,total_record_count_estimate,sample_field_names,has_owner_name,has_phone,has_email,has_lat_lng,auth_required,terms_url,evidence_url,verdict
AK,Anchorage,city,permit,arcgis,https://services.arcgis.com/PtjjXPkTAPmxg6Tr/arcgis/rest/services/Building_Permits/FeatureServer/0/query,200,0,,9999,0,,false,false,false,false,no,,https://data.muni.org/,REJECT_EMPTY
AK,Fairbanks North Star Borough,county,permit,arcgis,https://hub.fnsb.gov/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,https://hub.fnsb.gov/,REJECT_TIMEOUT
HI,Honolulu (City+County),city,permit,socrata,https://data.honolulu.gov/resource/eg5a-aci8.json,404,0,,9999,0,,false,false,false,false,no,,https://data.honolulu.gov/Permitting/Building-Permits-Issued/eg5a-aci8,REJECT_404
HI,Hawaii (state),state_aggregator,permit,arcgis,https://geoportal.hawaii.gov/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,https://geoportal.hawaii.gov/,REJECT_EMPTY
ID,Boise,city,permit,arcgis,https://opendata.cityofboise.org/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,https://opendata.cityofboise.org/,REJECT_EMPTY
ID,Meridian,city,permit,arcgis,https://opendata.meridiancity.org/datasets/building-permits/api,403,0,,9999,0,,false,false,false,false,scrape,,https://opendata.meridiancity.org/,AUTH_REQUIRED
ID,Idaho Falls,city,permit,arcgis,https://hub.idahofallsidaho.gov/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
KS,Wichita,city,permit,arcgis,https://opendata.wichita.gov/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
KS,Overland Park,city,permit,arcgis,https://data.opkansas.org/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
KS,Olathe,city,permit,arcgis,https://opendata.olatheks.org/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
KS,Topeka,city,permit,arcgis,https://opendata.topeka.org/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
MS,Mississippi (state parcel),state_aggregator,permit,arcgis,https://opendata.gis.ms.gov/datasets/parcels/api,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
ND,North Dakota (state parcel),state_aggregator,permit,arcgis,https://services.arcgis.com/dPlsK3xsZqkNDIwc/arcgis/rest/services/ND_Statewide_Parcels/FeatureServer/0/query,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
NE,Omaha,city,permit,arcgis,https://opendata-cityofomaha.opendata.arcgis.com/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
NE,Lincoln,city,permit,arcgis,https://opendata.lincoln.ne.gov/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
NE,Bellevue,city,permit,arcgis,https://gisdata.bellevue.net/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
RI,Rhode Island (state parcels via RIGIS),state_aggregator,permit,arcgis,https://services1.arcgis.com/dyfHaB57VdULRoVF/arcgis/rest/services/E911_Sites/FeatureServer/0/query,200,0,,9999,0,,false,false,false,false,no,,https://www.rigis.org/,REJECT_EMPTY
SD,Rapid City,city,permit,arcgis,https://opendata.rcgov.org/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
SD,Aberdeen,city,permit,arcgis,https://hub.aberdeen.sd.us/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
WV,West Virginia (state parcels),state_aggregator,permit,arcgis,https://services.arcgis.com/HRPe58oUyo8HOMdT/arcgis/rest/services/WV_Statewide_Tax_Parcels/FeatureServer/0/query,200,0,,9999,0,,false,false,false,false,no,,https://data.wv.gov/,REJECT_EMPTY
WY,Wyoming (statewide parcel hub),state_aggregator,permit,arcgis,https://data.geospatialhub.org/datasets/parcels/api,200,0,,9999,0,,false,false,false,false,no,,https://data.geospatialhub.org/,REJECT_EMPTY
WY,Laramie,city,permit,arcgis,https://hub.laramie.gov/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
WY,Gillette / Campbell County,county,permit,arcgis,https://hub.ccgov.net/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
ME,Maine (state parcels),state_aggregator,permit,arcgis,https://gis.maine.gov/server/rest/services/parcels/MapServer/0/query,404,0,,9999,0,,false,false,false,false,no,,https://www.maine.gov/geolib/,REJECT_404
ME,Bangor,city,permit,arcgis,https://opendata.bangormaine.gov/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
ME,Lewiston,city,permit,arcgis,https://opendata.lewistonmaine.gov/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
NM,Las Cruces,city,permit,arcgis,https://maps.las-cruces.org/server/rest/services/Open_Data/Building_Permits/FeatureServer/0/query,404,0,,9999,0,,false,false,false,false,no,,,REJECT_404
NM,Rio Rancho,city,permit,arcgis,https://opendata.rrnm.gov/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
NM,Farmington,city,permit,arcgis,https://hub.fmtn.org/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
OK,Oklahoma (state parcels via OK ABLE Commission),state_aggregator,permit,arcgis,https://services1.arcgis.com/T67XvyEv7C9zSbAr/arcgis/rest/services/Statewide_Parcels/FeatureServer/0/query,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
OK,Norman,city,permit,arcgis,https://data-normanok.opendata.arcgis.com/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
UT,Utah (state parcels via SGID),state_aggregator,permit,arcgis,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahStatewideParcels/FeatureServer/0/query,200,5,,9999,0,OBJECTID;PARCEL_ID;PARCEL_ADD;PARCEL_CITY;PARCEL_ZIP;OWN_TYPE;RECORDER;ParcelsCur;ParcelNotes;County;CoParcel_URL;ACCOUNT_NUM;Shape__Area;Shape__Length,false,false,false,false,no,,https://opendata.gis.utah.gov/,REJECT_STALE
UT,Provo,city,permit,arcgis,https://opendata.provo.org/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
UT,St. George,city,permit,arcgis,https://opendata.sgcity.org/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
UT,West Valley City,city,permit,arcgis,https://gisportal.wvc-ut.gov/server/rest/services/Open_Data/Building_Permits/FeatureServer/0/query,404,0,,9999,0,,false,false,false,false,no,,,REJECT_404
UT,Ogden,city,permit,arcgis,https://maps.ogdencity.com/server/rest/services/Open_Data/Building_Permits/FeatureServer/0/query,404,0,,9999,0,,false,false,false,false,no,,,REJECT_404
VT,Vermont (state parcels via VCGI),state_aggregator,permit,arcgis,https://maps.vcgi.vermont.gov/arcgis/rest/services/EGC_services/OPENDATA_VCGI_CADASTRAL_SP_NOCACHE_v1/FeatureServer/0/query,0,0,,9999,0,,false,false,false,false,no,,https://geodata.vermont.gov/,REJECT_TIMEOUT
NH,New Hampshire (state parcels),state_aggregator,permit,arcgis,https://services1.arcgis.com/dlbVCcINguHpsYsT/arcgis/rest/services/NH_Statewide_Parcels/FeatureServer/0/query,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
NH,Manchester,city,permit,arcgis,https://hub.manchesternh.gov/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
MT,Billings,city,permit,arcgis,https://city-of-billings-map-library-billings.hub.arcgis.com/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
MT,Great Falls,city,permit,arcgis,https://hub.greatfallsmt.net/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
MT,Helena,city,permit,arcgis,https://hub.helenamt.gov/datasets/building-permits/api,0,0,,9999,0,,false,false,false,false,no,,,REJECT_TIMEOUT
NV,Carson City,city,permit,arcgis,https://data-carsoncity.opendata.arcgis.com/datasets/building-permits/api,200,0,,9999,0,,false,false,false,false,no,,,REJECT_EMPTY
KS,Sedgwick County (Wichita area),county,permit,arcgis,https://services3.arcgis.com/PRyeAMTgQS8gkd0F/arcgis/rest/services/Permit_Status_2024/FeatureServer/0/query,200,5,,9999,0,OBJECTID;PlatSubID;RDSubDocID;SubdivNM;PlatBlkNO;PlatLotNM;PlatAreaTP;LotStatus;LotNotes;LotSqFTC;LotAcresC;GlobalID;CreationDate;Creator;EditDate;Editor;PermitStatus;PermitUse;PermitType;Date;Shape__Area;Shape__Length;CreationDate_1;Creator_1;EditDate_1;Editor_1;NewAddress;UtilityMeter;Valuation;Field,false,false,false,false,no,https://www.sedgwickcounty.org/gis/,https://www.arcgis.com/home/item.html?id=9b42a2b528cb434bb2aa6178178f6922,REJECT_STALE
KS,"Butler County (El Dorado, Andover, Augusta — east of Wichita)",county,permit,arcgis,https://services5.arcgis.com/SU4Aj97XUNDcwkDb/arcgis/rest/services/Permits_Premium/FeatureServer/3/query,200,5,,9999,0,OBJECTID;landowner;jobsite_address;jobsite_city;mail_address;mail_city;mail_state;mail_zip;general_contractor;general_phone;foundation_contractor;foundation_phone;electrician;electrician_phone;hvac;hvac_phone;other_contractor;other_phone;proposed_use;improvement_type;begin_date;work_desc;issued_by;issued_date;finaled_by;finaled_date;uniqueid;contractor_data;contractor_types;CreationDate,false,true,false,false,no,https://www.bucoks.com/,https://www.arcgis.com/home/item.html?id=5f61ec36e418473d9ce793c051885978,REJECT_STALE
KS,Butler County (Solar Permits sublayer),county,permit,arcgis,https://services5.arcgis.com/SU4Aj97XUNDcwkDb/arcgis/rest/services/Permits_Premium/FeatureServer/4/query,200,0,,9999,0,,false,false,false,false,no,,https://www.arcgis.com/home/item.html?id=5f61ec36e418473d9ce793c051885978,REJECT_EMPTY
NE,Lincoln,city,permit,arcgis,https://services1.arcgis.com/wpJGOi6N4Rq5cqFv/arcgis/rest/services/AccelaResidentialPermits/FeatureServer/5/query,200,5,,9999,0,OBJECTID;Join_Count;TARGET_FID;parcels_OBJECTID;parcels_AREA;parcels_PRECINCT;parcels_LEGAL;BldgCombinedTable_Issued;BldgCombinedTable_PermNo;BldgCombinedTable_CurrStatus;BldgCombinedTable_CityCounty;BldgCombinedTable_DescWork;BldgCombinedTable_Units;BldgCombinedTable_ClassCode;BldgCombinedTable_Address;BldgCombinedTable_PermType;BldgCombinedTable_Applied;BldgCombinedTable_Final;BldgCombinedTable_ParcelNo;BldgCombinedTable_LegalDesc;BldgCombinedTable_SquareFeet;BldgCombinedTable_UseType;BldgCombinedTable_Occupancy;BldgCombinedTable_Demo;BldgCombinedTable_StructureType;BldgCombinedTable_DemoUnits;BldgCombinedTable_DemoBldgArea;BldgCombinedTable_PID;BldgCombinedTable_SITUS;PrctName,false,false,false,false,no,https://www.lincoln.ne.gov/City/Departments/Building-Safety,https://www.arcgis.com/home/item.html?id=ce66f2ee14d545a6804a86ca0905a33e,REJECT_STALE
KS,Overland Park,city,permit,tyler_energov,https://energov.opkansas.org,200,0,,9999,0,,false,false,false,false,no,https://www.opkansas.org/government/services/permits-and-inspections/,https://www.arcgis.com/home/item.html?id=91af26fc6fd84b8b8640fa77899c6bd8,REJECT_EMPTY
KS,Topeka,city,permit,arcgis,https://topeka.maps.arcgis.com/apps/webappviewer/index.html?id=c2488ad09aa5483d9bce8f7b8e959a60,200,0,,9999,0,,false,false,false,false,no,https://www.topeka.org/development-services/building-permits/,https://www.arcgis.com/home/item.html?id=c2488ad09aa5483d9bce8f7b8e959a60,REJECT_EMPTY
NE,Omaha,city,permit,accela,https://permitsandinspections.cityofomaha.org,0,0,,9999,0,,false,false,false,false,scrape,https://permitsandinspections.cityofomaha.org/,https://apps.dogis.org/findpermits/,REJECT_TIMEOUT
SD,Rapid City / Pennington County,city,permit,tyler_energov,https://eservices.rcgov.org/EnerGov_Prod/SelfService,0,0,,9999,0,,false,false,false,false,no,https://www.rcgov.org/,https://www.rcgov.org/departments/community-development/building-services-1.html,REJECT_TIMEOUT
ID,Boise (Development Tracker),city,planning_pipeline,arcgis,https://services1.arcgis.com/WHM6qC35aMtyAAlN/arcgis/rest/services/Development_Tracker_Open_Data/FeatureServer/0/query,200,5,,9999,0,RecordID;ParentRecordID;RecordName;Status;AddToTrackerDate;RecordType;ComprehensivePlanningArea;NeighborhoodAssociationName;PropertyAddress;ReviewAuthority;Website;NextHearingDate;HearingBody;ZoningCode;Description;created_user;created_date;last_edited_user;last_edited_date;GlobalID;OBJECTID;Shape__Area;Shape__Length,false,false,false,false,no,https://www.cityofboise.org/about-the-city/website-policies/,https://opendata.cityofboise.org/datasets/development-tracker-open-data,REJECT_STALE
ID,Boise (PDS Zoning Activities),city,planning_pipeline,arcgis,https://services1.arcgis.com/WHM6qC35aMtyAAlN/arcgis/rest/services/PDS_Zoning_Activities/FeatureServer/0/query,200,5,,9999,0,OBJECTID;RecordID;RecordName;Status;ProjectType;ReviewAuthorityFromType;ProposedUseCategory;StatusCategory;ProposedUnitsTotal;UnitsDemoed;UsingIncentive;AffordabilityIncentive;SustainabilityIncentive;ProposedUse;ResidentialType;Description;FullAddress;CRCompleteDate;ComprehensivePlanningArea;ZoningDistrict;ReviewAuthority;ChildRecords,false,false,false,false,no,https://www.cityofboise.org/about-the-city/website-policies/,https://opendata.cityofboise.org/datasets/boise-zoning-activities,REJECT_STALE
HI,Honolulu City+County (HISTORICAL Socrata snapshot),county,permit,socrata,https://data.honolulu.gov/resource/4vab-c87q.json,200,5,2024-06-03T00:00:00.000,736,0,acceptedvalue;addition;alteration;buildingpermitno;contractor;contractorelectrical;contractorplumbing;demolition;electricalwork;estimatedvalueofwork;externalfilenum;fence;floodhazardcomplied;floodhazardexempt;foundationonly;issuedate;newbuilding;occupancygroupassessed;occupancygroupcategory;occupancygroupresidential;planmaker;plumbingwork;pool;proposeduse;repair;retainingwall;shellonly;statusdescription;tmk;typesofconstructionactual,true,false,false,false,no,https://data.honolulu.gov/about,https://data.honolulu.gov/d/4vab-c87q,REJECT_STALE
AK,Anchorage (MOA),city,permit,accela,https://aca-prod.accela.com/Anchorage/Default.aspx,200,0,,9999,0,,false,false,false,false,scrape,https://www.muni.org/pages/privacy.aspx,https://www.muni.org/Departments/OCPD/development/BSD/Pages/default.aspx,REJECT_EMPTY
AK,Juneau (CBJ),city,permit,accela,https://aca-prod.accela.com/CBJ/,404,0,,9999,0,,false,false,false,false,scrape,https://juneau.org/privacy,https://juneau.org/community-development/building-division,REJECT_404
HI,Honolulu DPP (live successor portal),county,permit,custom,https://www.honoluludpp.org/PermitsAndApplications.aspx,404,0,,9999,0,,false,false,false,false,no,https://www.honoluludpp.org/Privacy,https://www.honoluludpp.org/,REJECT_404
HI,Hawaii County (Big Island / Hilo / Kona),county,permit,custom,https://epic.hawaiicounty.gov/,0,0,,9999,0,,false,false,false,false,no,https://www.hawaiicounty.gov/privacy-policy,https://www.hawaiicounty.gov/our-county/departments/public-works/building-division,REJECT_TIMEOUT
HI,Maui County (MAPPS),county,permit,custom,https://mauicounty.gov/2105/Building-Permits,200,0,,9999,0,,false,false,false,false,no,https://mauicounty.gov/privacy,https://mauicounty.gov/2105/Building-Permits,REJECT_EMPTY
ID,Boise (Citizen Portal — live permits),city,permit,accela,https://citizenportal.cityofboise.org/,0,0,,9999,0,,false,false,false,false,scrape,https://www.cityofboise.org/about-the-city/website-policies/,https://www.cityofboise.org/departments/planning-and-development-services/permits/,REJECT_TIMEOUT
ID,Meridian,city,permit,accela,https://aca-prod.accela.com/MERIDIAN/,200,0,,9999,0,,false,false,false,false,scrape,https://meridiancity.org/privacy,https://meridiancity.org/community-development/building,REJECT_EMPTY
UT,Utah State Construction Registry (SCR) — GOLD STANDARD,state_aggregator,lien,custom,https://secure.utah.gov/scr/scr,404,0,,9999,0,,false,false,false,false,no,https://dopl.utah.gov/scr/,https://dopl.utah.gov/scr/,REJECT_404
UT,Utah Statewide Parcels (UGRC SGID),state_aggregator,parcel,arcgis,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahStatewideParcels/FeatureServer/0/query,200,5,,9999,0,OBJECTID;PARCEL_ID;PARCEL_ADD;PARCEL_CITY;PARCEL_ZIP;OWN_TYPE;RECORDER;ParcelsCur;ParcelNotes;County;CoParcel_URL;ACCOUNT_NUM;Shape__Area;Shape__Length,false,false,false,false,no,https://gis.utah.gov/about/policy/,https://gis.utah.gov/products/sgid/cadastre/parcels/,REJECT_STALE
UT,Utah LIR Parcels (assessor companion),state_aggregator,assessor,arcgis,https://opendata.gis.utah.gov/datasets/utah::utah-lir-parcels/about,200,0,,9999,0,,false,false,false,false,no,https://gis.utah.gov/about/policy/,https://gis.utah.gov/products/sgid/cadastre/parcels-lir/,REJECT_EMPTY
UT,Utah DOPL — License Roster (BULK CSV available),state_aggregator,license_roster,custom,https://dopl.utah.gov/licensee-statistics/,404,0,,9999,0,,false,false,false,false,no,https://dopl.utah.gov/,https://dopl.utah.gov/,REJECT_404
