state,jurisdiction,jurisdiction_type,platform,endpoint_url,http_status,sample_record_count,latest_record_date,freshness_days,total_record_count_estimate,sample_field_names,has_owner_name,has_phone,has_email,has_lat_lng,auth_required,terms_url,evidence_url
AK,Anchorage,city,arcgis,NONE_FOUND,n/a,0,n/a,n/a,0,n/a,no,no,no,no,no,n/a,https://moa-muniorg.hub.arcgis.com/pages/data
AK,Anchorage,city,custom,https://bsd.muni.org/inspandreview/,200,n/a,n/a,n/a,n/a,permit_no;site_address;contractor;owner;status;value;issued,yes,no,no,no,scrape,https://www.muni.org/Departments/OCPD/development-services/Pages/default.aspx,https://bsd.muni.org/inspandreview/
AK,Municipality of Anchorage - Demolitions/Buildings of Interest,city,arcgis,https://services2.arcgis.com/Ce3DhLRthdwbHlfF/arcgis/rest/services/DevServices_BuildingsOfInterest_ReadOnly_Hosted/FeatureServer/0,200,3,2026-04-09,25,12,OBJECTID;Action;Notes;Address;ActionDate;GlobalID,no,no,no,yes,no,https://www.muni.org/pages/terms.aspx,https://moa-muniorg.hub.arcgis.com/
AK,Fairbanks North Star Borough,county,arcgis,https://www.co.fairbanks.ak.us/1108/FNSB-GIS-Layer-REST-Services,200,n/a,n/a,n/a,n/a,FNSB GIS catalog (no permits service exposed),no,no,no,no,no,https://www.fnsb.gov,https://www.fnsb.gov/438/Get-FNSB-GIS-Data
AK,Juneau (CBJ),city,custom,https://juneau.org/community-development/permitting-data,200,n/a,n/a,n/a,n/a,downloadable PDF/XLS reports - no JSON API,no,no,no,no,scrape,https://juneau.org,https://juneau.org/community-development/permitting-data
HI,Honolulu CCH (DPP),city,socrata,https://data.honolulu.gov/resource/4vab-c87q.json,200,5,2025-06-30,308,432021,addition;alteration;demolition;estimatedvalueofwork;externalfilenum;newbuilding;commercialresidential;applicant;tmk;address;createddate;completeddate;statusdescription,no,no,no,no,no,https://data.honolulu.gov/Government/Honolulu-Open-Data-Terms-of-Use/v6kc-9zgz,https://data.honolulu.gov/business/Building-Permits-January-1-2005-through-June-30-20/4vab-c87q
HI,Honolulu CCH (DPP) - live system,city,custom,https://dppweb.honolulu.gov/DPPWeb/default.aspx?PossePresentation=BuildingPermitSearch,200,n/a,n/a,n/a,n/a,permit_no;tmk;application_status;owner;contractor;value,yes,no,no,no,scrape,https://www.honolulu.gov/dpp,https://dppweb.honolulu.gov/DPPWeb/default.aspx?PossePresentation=BuildingPermitSearch
HI,Hawaii County (Hilo) Public Works,county,arcgis,https://hawaii-county-public-works-hawaiicountygis.hub.arcgis.com/pages/blg-permit-info,200,n/a,n/a,n/a,n/a,reports/PDFs only - no live FeatureServer with permits,no,no,no,no,scrape,https://www.hawaiicounty.gov,https://hawaii-county-public-works-hawaiicountygis.hub.arcgis.com/pages/blg-permit-info
HI,Kauai County,county,custom,https://egov.kauai.gov/Click2GovBP/,200,n/a,n/a,n/a,n/a,Click2Gov building permit search portal,yes,no,no,no,scrape,https://www.kauai.gov,https://egov.kauai.gov/Click2GovBP/
ID,Boise,city,arcgis,https://services1.arcgis.com/WHM6qC35aMtyAAlN/arcgis/rest/services/PDS_BuildingPermits_HighImpact/FeatureServer/0,200,5,2026-04-22,12,136,OBJECTID;RecordID;PropertyAddress;City;State;ParcelNumber;RecordTypeAlias;PermitStatus;IssuedDate;FinaledDate;ExpirationDate;ReceiveDate;Description;RecordName;Units;JobValue;NewBuildingArea;TotalBuildingArea;TypeOfUse;TypeOfPermit;TypeOfWork;ZoningDistrict;Status,no,no,no,yes,no,https://www.cityofboise.org/about/legal,https://city-of-boise.opendata.arcgis.com/datasets/boise::new-housing-construction-and-demolitions-open-data
