state,jurisdiction,jurisdiction_type,platform,endpoint_url,http_status,sample_record_count,latest_record_date,freshness_days,total_record_count_estimate,sample_field_names,has_owner_name,has_phone,has_email,has_lat_lng,auth_required,terms_url,evidence_url
NM,Las Cruces,city,ArcGIS REST MapServer,https://maps.las-cruces.org/gis/rest/services/Information_Services/MapServer/1,200,5,2026-04-30,4,80217,"Permit_Type;Permit_Number;Permit_Location;Project;Project_Valuation;Contractor_Business_Name;Contractor_Name;Issued_Date;Owner_Name;Proposed_Use;Total_SQFT;X;Y;Zoning",yes,no,no,yes,no,https://communal-data-las-cruces.hub.arcgis.com/pages/terms-of-use,https://communal-data-las-cruces.hub.arcgis.com/datasets/las-cruces::building-permit
NM,Las Cruces,city,ArcGIS REST MapServer,https://maps.las-cruces.org/gis/rest/services/Information_Services/MapServer/4,200,3,2026-04-27,7,5379,"Permit_Type;Permit_Number;Assigned_Department;Project_Description;Location_Address;Open_Date;Latest_Status;Status_Group;X;Y",no,no,no,yes,no,https://communal-data-las-cruces.hub.arcgis.com/pages/terms-of-use,https://communal-data-las-cruces.hub.arcgis.com/datasets/las-cruces::planning-permits
NM,Rio Rancho,city,ArcGIS REST MapServer,https://gis.rrnm.gov/arcgis/rest/services/DevelopmentServices/UnderConstructionResidential/MapServer/0,200,2,UNKNOWN_NO_DATE_FIELD,UNKNOWN,27,"Name;Area;ApprovedSubdivisionsMPCs;DwellingUnits;Acreage",no,no,no,yes,no,,https://gis.rrnm.gov/arcgis/rest/services
NM,Rio Rancho,city,Tyler/Click2Gov,https://rior-egov.aspgov.com/Click2GovBP/index.html,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,scrape,,https://rrnm.gov/77/Building-Division
NM,Roswell,city,Cloudpermit,https://us.cloudpermit.com/,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,scrape,,https://roswell-nm.gov/189/Planning-Zoning
NM,Farmington,city,NONE_FOUND,NONE_FOUND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM,Hobbs,city,NONE_FOUND,NONE_FOUND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VT,Burlington,city,ArcGIS REST FeatureServer (OpenGov-backed),https://services1.arcgis.com/1bO0c7PxQdsGidPK/arcgis/rest/services/OpenGov_Building/FeatureServer/0,200,3,2026-04-26,8,141701,"RecordId;Department;RecordType;ProjectName;Description;ApplicationDate;PermitNo;PermitStatus;Applicant;StreetAddress;PrimaryLUC;StatusDate;ConstructionStartDate;ContractorOrOrganizationName;PublicUrl;Latitude;Longitude;EstimatedConstructionCost",no,no,no,yes,no,https://data.burlingtonvt.gov/pages/terms-of-use,https://data.burlingtonvt.gov/datasets/burlingtonvt::opengov-fire-building-and-trades-applications-and-permits/about
VT,Burlington,city,ArcGIS REST FeatureServer (OpenGov-backed),https://services1.arcgis.com/1bO0c7PxQdsGidPK/arcgis/rest/services/OpenGov_Zoning/FeatureServer/0,200,3,2026-04-26,8,35668,"RecordId;Department;RecordType;ProjectName;Description;ApplicationDate;PermitNo;PermitStatus;Applicant;StreetAddress;PrimaryLUC;ContractorOrOrganizationName;PublicUrl;Latitude;Longitude;EstimatedConstructionCost",no,no,no,yes,no,https://data.burlingtonvt.gov/pages/terms-of-use,https://data.burlingtonvt.gov/datasets/dd83c8ab570046cdabdb35ce1980d2fd_0/explore
VT,Burlington,city,ArcGIS REST FeatureServer (OpenGov-backed),https://services1.arcgis.com/1bO0c7PxQdsGidPK/arcgis/rest/services/OpenGov_Fire_Marshal/FeatureServer/0,200,3,2026-04-26,8,6834,"RecordId;Department;RecordType;Description;ApplicationDate;PermitNo;PermitStatus;Applicant;StreetAddress;PrimaryLUC;ContractorOrOrganizationName;PublicUrl;Latitude;Longitude",no,no,no,yes,no,https://data.burlingtonvt.gov/pages/terms-of-use,https://data.burlingtonvt.gov/datasets/burlingtonvt::opengov-fire-marshal-applications-and-permits/about
VT,South Burlington,city,NONE_FOUND,NONE_FOUND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VT,Rutland,city,GovPilot,https://eforms-main.govpilot.com/VT/rutlandcityvt,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,scrape,,https://www.rutlandcity.org/departments/building-department/building-permit-information/
VT,Essex,city,NONE_FOUND,NONE_FOUND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VT,Colchester,city,NONE_FOUND,NONE_FOUND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,Missoula,city,ArcGIS REST FeatureServer,https://services.arcgis.com/HfwHS0BxZBQ1E5DY/arcgis/rest/services/AddressesWithPermits_mso/FeatureServer/0,200,3,2026-05-05,-1,119346,"SERV_PROV_CODE;B1_PER_ID1;B1_PER_TYPE;B1_PER_SUB_TYPE;B1_PER_CATEGORY;ApplicationDate;RecordID;RecordStatus;RecordStatusDate;RecordName;AddressID;Address;DescriptionOfWork;FullAddress",no,no,no,no,no,https://missoulamaps-cityofmissoula.hub.arcgis.com/pages/terms-of-use,https://missoulamaps-cityofmissoula.hub.arcgis.com/
MT,Missoula,city,ArcGIS REST FeatureServer,https://services.arcgis.com/HfwHS0BxZBQ1E5DY/arcgis/rest/services/Building_Permit_Metrics_v2/FeatureServer/0,200,3,2026-04 (year+month only),~30,41161,"Permit_ID;Permit_Type;Permit_Subtype;Project_Type;Process_Code;Current_Process_Status;Current_Responsible_Party;Permit_Open_Year;Permit_Open_Month;Permit_Issued_Year;Permit_Issued_Month;Cycle",no,no,no,no,no,,https://missoulamaps-cityofmissoula.hub.arcgis.com/
MT,Missoula,city,ArcGIS REST FeatureServer,https://services.arcgis.com/HfwHS0BxZBQ1E5DY/arcgis/rest/services/UDC_PermitData_v3/FeatureServer/0,200,2,2024-09 (sample),UNKNOWN,2282,"RecordID;PermitType;PermitSubType;IssueDate;IssueYear;OccupancyDate;DwellingUnits_Building;CurrentRecordStatus;Neighborhood;Transit;LandUseType;SquareFootage;AddressID",no,no,no,no,no,,https://missoulamaps-cityofmissoula.hub.arcgis.com/
MT,Missoula,city (REJECTED stale),ArcGIS REST FeatureServer,https://services.arcgis.com/HfwHS0BxZBQ1E5DY/arcgis/rest/services/BuildingPermitDataAll/FeatureServer/0,200,3,2025-06-01,338,12656,"Category;Record_Number;Commercial_Subtype;Residential_Subtype;Address;Project_Type;Permit_Date",no,no,no,no,no,,https://missoulamaps-cityofmissoula.hub.arcgis.com/
MT,Billings,city,ArcGIS REST MapServer,https://billingsgis.com/arcgis_public/rest/services/ArcOnline_Public/BuildingPermits_CodeViolations_EXT/MapServer/0,200,5,2026-03-30,35,132551,"All_Building_Permits_Owner;All_Building_Permits_account;All_Building_Permits_Contractor;All_Building_Permits_SubmitDate;All_Building_Permits_IssueDate;All_Building_Permits_status;All_Building_Permits_OwnerCity;All_Building_Permits_OwnerState;All_Building_Permits_TaxID;All_Building_Permits_PropertyAddress;All_Building_Permits_Permit_Type;All_Building_Permits_building_permit_no;All_Building_Permits_work_description;All_Building_Permits_LastInspectionDate",yes,no,no,yes,no,https://www.billingsmt.gov/Disclaimer,https://city-of-billings-map-library-billings.hub.arcgis.com/maps/dde5963d1b494f8f8b7a0a2bb871a0a1
MT,Great Falls,city,ArcGIS REST FeatureServer (Tyler EnerGov),https://gis.greatfallsmt.net/arcgis/rest/services/Planning/EnerGov_Spatial_History_Writers/FeatureServer/0,200,5,2026-05-01,3,34783,"MODULENAME;CASEID;CASENUMBER;WORKCLASS;APPLICATIONDATE;PROJECTID;PROJECTNAME;SPATIALTYPE;CaseType",no,no,no,no,no,,https://greatfallsmt.net/gis
MT,Great Falls,city,ArcGIS REST MapServer (Tyler EnerGov),https://gis.greatfallsmt.net/arcgis/rest/services/Planning/Energov_Services/MapServer,200,NA,NA,NA,NA,"layers 0-19 inc Spatial Collection Point;CityAddresses;Parcels",NA,NA,NA,yes,no,,https://greatfallsmt.net/gis
MT,Helena,city,ArcGIS REST FeatureServer,https://services1.arcgis.com/zy02xMI7T6QrPvfO/arcgis/rest/services/FBP_In_Progress_Residential_Permits/FeatureServer/92,200,3,2026-04-29,5,128,"Permit_Number;Address;Permit_Type;Permit_Status;Permit_Issue_Date;Permit_Work_Class;Permit_Application_Date;Permit_Valuation;Number_of_New_Dwellings;Subdivision;City;State;Postal_Code;Parcel_Number",no,no,no,yes,no,,https://gisdata-helenamtmaps.opendata.arcgis.com/
MT,Helena,city (REJECTED stale 7mo),ArcGIS REST FeatureServer,https://services1.arcgis.com/zy02xMI7T6QrPvfO/arcgis/rest/services/FBP_Residential_Permits/FeatureServer/92,200,5,2025-09-15,232,550,"Permit_Number;Address;Permit_Type;Permit_Status;Permit_Issue_Date;Permit_Work_Class;Permit_Valuation;Number_of_New_Dwellings;Subdivision",no,no,no,yes,no,,https://gisdata-helenamtmaps.opendata.arcgis.com/
MT,Helena,city (REJECTED stale 22mo),ArcGIS REST FeatureServer,https://services1.arcgis.com/zy02xMI7T6QrPvfO/arcgis/rest/services/All_Building_Permits_Jan2019_Present/FeatureServer/9,200,5,2024-07-01,673,17630,"Permit_Number;Address;Permit_Type;Permit_Status;Permit_Issue_Date;Permit_Work_Class;Permit_Application_Date;Permit_Valuation;City;State;Postal_Code",no,no,no,yes,no,,https://gisdata-helenamtmaps.opendata.arcgis.com/
MT,Kalispell,city,NONE_FOUND,NONE_FOUND,NA,NA,NA,NA,NA,NA,no_building_permit_layer_only_zoning_and_encroachment,NA,NA,NA,NA,NA,NA
NV,North Las Vegas,city,Tyler CSS Self-Service,https://www.cityofnorthlasvegas.com/business/development-services,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,scrape,,https://www.cityofnorthlasvegas.com/business/development-services
NV,Boulder City,city,NONE_FOUND,NONE_FOUND,NA,NA,NA,NA,NA,NA,monthly_PDF_reports_only,NA,NA,NA,NA,NA,NA
NV,Mesquite,city,OnlineGovt portal,https://mesquite.onlinegovt.com/,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,scrape,,https://www.mesquitenv.gov/departments/building-division
NV,Elko (city),city,Logos eSuite (eTRAKiT-style),https://logosesuite.elkocitynv.gov/esuite.permits/,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,scrape,,https://www.elkocity.com/departments/building_department/index.php
NV,Fallon,city,NONE_FOUND,NONE_FOUND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
