state,jurisdiction,jurisdiction_type,data_layer,platform,endpoint_url,http_status,sample_record_count,latest_record_date,freshness_days,total_record_count_estimate,sample_field_names,has_owner_name,has_phone,has_email,has_lat_lng,auth_required,terms_url,evidence_url
ME,Maine,state_aggregator,parcel_assessor,arcgis,NONE_FOUND,,,,,,no public statewide REST endpoint; MEGIS GeoLibrary publishes per-town shapefiles only; Vision Government Solutions (vgsi.com) hosts Cumberland/Portland but is HTML-only no JSON API,no,no,no,no,no,https://www.maine.gov/geolib/policies.html,https://www.maine.gov/geolib/catalog.html
MS,Mississippi,state_aggregator,parcel_assessor,arcgis,https://gis.mississippi.edu/server/rest/services/Cadastral/MS_Parcels_2023/MapServer,499,0,2023-08-01,>365,,token-required service; rejected,unknown,no,no,unknown,yes,https://maris.mississippi.edu/HTML/Disclaimer.html,https://maris.mississippi.edu/
MS,Hinds County,county,parcel_assessor,arcgis,https://opcgis.deq.state.ms.us/opcgis/rest/services/Government/HINDS_PARCELS/MapServer/0,200,2,2021-01-01,>365,114814,"OBJECTID,CAMA,PARNO,OWNNAME,MAILADD1,SITEADD,LANDVAL,IMPVAL1,TOTVAL,TAXYEAR,LATDEC,LONGDEC",yes,no,no,yes,no,https://opcgis.deq.state.ms.us/,https://opcgis.deq.state.ms.us/opcgis/rest/services/Government/HINDS_PARCELS/MapServer
MS,Harrison County,county,parcel_assessor,arcgis,https://geo.co.harrison.ms.us/server/rest/services/AssetMap/MapServer/2,200,2,unknown,unknown,96571,"OBJECTID,PARCEL_ID,PPIN,PARCEL,TAX_D,NAME,ADDR_1,ADDR_2,CITY,ST_ZIP",yes,no,no,no,no,https://harrisoncountyms.gov/,https://geo.co.harrison.ms.us/server/rest/services/AssetMap/MapServer
MS,Rankin County,county,parcel_assessor,custom,NONE_FOUND,,,,,,parcel viewer at gis.cmpdd.org is webapp only; CMPDD ArcGIS server folder for Rankin contains imagery and flood layers but no parcels feature service exposed publicly,no,no,no,no,no,https://www.rankincounty.org/,https://gis.cmpdd.org/arcgis/rest/services
NH,New Hampshire,state_aggregator,parcel_assessor,arcgis,https://nhgeodata.unh.edu/nhgeodata/rest/services/CAD/ParcelMosaic/MapServer/1,200,2,2024-07-01,~300,616179,"OBJECTID,ParcelOID,NH_GIS_ID,PID,TownID,Town,U_ID,DisplayId,CountyId,SLU,SLUC,SLUM,StreetAddress,LocalNBC,NBC,Name",no,no,no,yes,no,https://granit.unh.edu/data/dataaccess.html,https://nh-granit-nhgranit.hub.arcgis.com/datasets/NHGRANIT::nh-parcel-mosaic-polygons/about
NH,Hillsborough County,county,parcel_assessor,custom,NONE_FOUND,,,,,,county-level parcel data in NH is fragmented across town assessors using AxisGIS/Vision/Avitar platforms; no county REST endpoint; town-level data falls under statewide ParcelMosaic (above),no,no,no,no,no,https://www.hillsboroughcountynh.org/,https://www.axisgis.com/HillsboroughNH/Default.aspx
NH,Rockingham County,county,parcel_assessor,custom,NONE_FOUND,,,,,,covered by NHGRANIT statewide ParcelMosaic; county GIS hub data-hub-rock-co-gis is empty of parcel data; town-level on AxisGIS/PeopleGIS only,no,no,no,no,no,https://granit.unh.edu/,https://data-hub-rock-co-gis.hub.arcgis.com/
OK,Oklahoma County,county,parcel_assessor,custom,NONE_FOUND,,,,,,assessor uses Geocortex viewer (oklahomacounty.geocortex.com) without an exposed public REST FeatureServer endpoint; assessor data behind okassessor.oklahomacounty.org HTML viewer,no,no,no,no,yes,https://www.oklahomacounty.org/elected-offices/assessor,https://oklahomacounty.geocortex.com/
OK,Tulsa,city,parcel_assessor,arcgis,https://maps.cityoftulsa.org/hosting/rest/services/DatabaseViews/LandBaseView/FeatureServer/14,unknown,unknown,unknown,unknown,unknown,documented as Tulsa County Assessor parcel layer; not directly probed in this run; verify before adoption,unknown,no,no,unknown,unknown,https://www.cityoftulsa.org/,https://gis2-cityoftulsa.opendata.arcgis.com/
